_id,title,description
5ef4c75efb2f3e190e58f780313737ea1c135206205c54f9c66ae54a5844f080,"Navjot Sidhu Quits As Punjab Congress Chief, Surprises Gandhis - NDTV","Navjot Singh Sidhu has resigned as Punjab Congress chief, in a stunning development just days after Amarinder Singh was replaced as Chief Minister in a series of events that had his approval."
ca4f4785d605b6990ceeaeefcf8574d2af2497df27eb1226d5b7242c1656cb31,"IPL 2021 Live Score, KKR vs DC: Shikhar Dhawan Starts Strongly For Delhi Capitals, Kolkata Knight Riders Seek Early Breakthrough - NDTVSports.com","IPL 2021, Kolkata Knight Riders vs Delhi Capitals Live Score: Shikhar Dhawan and Shreyas Iyer departed in quick succession as Kolkata Knight Riders went ahead in the match against Delhi Capitals In Sharjah."
279d95cab9c68c34a1eae1242ca27c60f1579f00a8139799047117fa172cdbf9,"NASA's Hubble Captures Storm in Jupiter's Great Red Spot Speeding Up - News18","If you have seen pictures of the beautiful ""king"" of our solar system -- Jupiter --you must have noticed a giant crimson spot on the planet."
5d0b254b0a7efe2457fca28a12b59cc363c619a422f803a2a223b8bdb1c60418,"Dilip Ghosh 'manhandled': 8 arrested, Bengal govt tells EC - Times of India","India News: NEW DELHI: Eight persons have been arrested and an FIR registered in connection with an alleged attack on Dilip Ghosh, the West Bengal government has ."
dfc892a06c31c9eab4a487b709e60df52cc42507e30a850c9af34a1e1e2b50f3,Earth-monitoring Landsat 9 satellite launches in California - India TV News,"Capturing changes in the planet’s landscape ranging from the growth of cities to the movements of glaciers, the Landsat program is the longest continuous record of Earth observation from space, according to NASA."
8e107d781fca340f1ae2423ffb87c02acff3f902b6f8e194e5de65941b7ef8aa,"Sensex Plunges Over 1,000 Points, Dragged By Financials, IT Shares - NDTV Profit","The broader markets are also trading weak, with the BSE Midcap index and BSE Smallcap index shedding around 1 per cent each"
6e442f24b7c0eed6c75bbd5f39fd15930c2f988f7a91eea0315435c878445a5e,"David Warner says won't be at stadium again amid speculation of Sunrisers Hyderabad stint ending - Times of India","Cricket News: Sunrisers Hyderabad's big-hitting opener David Warner, who has been dropped from the playing XI because of poor form, has said that he won't be seen a"
2c91ee7453b5968af75fca20301ab26371f17d6a0ed92c1b36ffb91fdded819c,"A Megacomet—One So Big, It Was Previously Misidentified As a Dwarf Planet!—Is Approaching Our Solar System | The Weather Channel - Articles from The Weather Channel | weather.com - The Weather Channel",Astronomers believe that this mysterious object will pass through our planetary system at its closest approach in the year 2031. - Articles from The Weather Channel | weather.com
63b6b3dfadb008783a76708d1014c2503ea718e3f88f4991613d56225f203b80,Arjun Kapoor has a special request for Alia Bhatt on her beau Ranbir Kapoor’s birthday as he shares an un - Times of India,Arjun Kapoor has shared a priceless unseen picture with birthday boy Ranbir Kapoor and their other friends from the
9bde049d560dabf12d039584c2ff66660cf1678e553ac29e6bf876238dcc51e9,Will Joe Biden Call Imran Khan? What The White House Said - NDTV,"A senior White House official has said that she cannot ""predict"" when US President Joe Biden would make a call to Pakistan Prime Minister Imran Khan though there has been high-level engagements between the two countries."
e9e67ba2d98baed4d323de56c7b4f0c4c5c4e98b44c94d293119517cb43b726d,"EC announces by-poll schedule for 3 Lok Sabha, 30 assembly seats - Hindustan Times","The EC earlier this month announced by-polls to four assembly seats on September 30. They include West Bengal’s Bhabanipur, where Mamata Banerjee is contesting from as she needs to get elected to the state assembly by November to continue as the chief ministe…"
3e87797bc37c7f29de71a46d6b16d840a0715c91151e2a584610200af8650c29,"Garena Free Fire Max download link: Game released - Check Google Play store link, system requirements, file... - Zee Business","The stable version has been released on the major app store- Google Play Store, although it may some time to reach all the devices."
cea929935728fd8655e31f139686193e49449493afeac3854a91a5df98d494f3,‘Pathan’ Shah Rukh Khan In A Three-Way Clash With Akshay Kumar & Prabhas? - Koimoi,"Yesterday, we reported about the mega clash between Akshay Kumar's Raksha Bandhan and Prabhas' Adipurush. Now, add Shah Rukh Khan to it."
ce577dbdb2d655a539bfda05e080daa75a79fed17d593b9a02324a65b028010a,"Bhool Bhulaiyaa 2 motion poster: Kartik Aaryan film cranks up the mystery, to release on March 25 - The Indian Express","Bhool Bhulaiyaa 2 motion poster: Kartik Aaryan announced that the horror-comedy will release in theatres on March 25, 2022. The film also stars Kiara Advani and Tabu in the lead roles."
add25d263d5124eafd8ece43cacacb4e3b56a0d886080f3847315404eb45e761,Petrol Prices Increased After A Hiatus Of 22 Days; Diesel Sees Fourth Rate Hike - carandbike,"Petrol prices in Delhi jumped by 20 paise from Rs. 101.19 a litre to Rs. 101.39 a litre while diesel is priced at Rs. 89.57 a litre, after a hike of 25 paise."
