title,text,
"Navjot Sidhu Quits As Punjab Congress Chief, Surprises Gandhis - NDTV","Navjot Singh Sidhu has resigned as Punjab Congress chief, in a stunning development just days after Amarinder Singh was replaced as Chief Minister in a series of events that had his approval.",
"IPL 2021 Live Score, KKR vs DC: Shikhar Dhawan Starts Strongly For Delhi Capitals, Kolkata Knight Riders Seek Early Breakthrough - NDTVSports.com","IPL 2021, Kolkata Knight Riders vs Delhi Capitals Live Score: Shikhar Dhawan and Shreyas Iyer departed in quick succession as Kolkata Knight Riders went ahead in the match against Delhi Capitals In Sharjah.",
NASA's Hubble Captures Storm in Jupiter's Great Red Spot Speeding Up - News18,"If you have seen pictures of the beautiful ""king"" of our solar system -- Jupiter --you must have noticed a giant crimson spot on the planet.",
"Dilip Ghosh 'manhandled': 8 arrested, Bengal govt tells EC - Times of India","India News: NEW DELHI: Eight persons have been arrested and an FIR registered in connection with an alleged attack on Dilip Ghosh, the West Bengal government has .",
Earth-monitoring Landsat 9 satellite launches in California - India TV News,"Capturing changes in the planet’s landscape ranging from the growth of cities to the movements of glaciers, the Landsat program is the longest continuous record of Earth observation from space, according to NASA.",
"Sensex Plunges Over 1,000 Points, Dragged By Financials, IT Shares - NDTV Profit","The broader markets are also trading weak, with the BSE Midcap index and BSE Smallcap index shedding around 1 per cent each",
David Warner says won't be at stadium again amid speculation of Sunrisers Hyderabad stint ending - Times of India,"Cricket News: Sunrisers Hyderabad's big-hitting opener David Warner, who has been dropped from the playing XI because of poor form, has said that he won't be seen a",
"A Megacomet—One So Big, It Was Previously Misidentified As a Dwarf Planet!—Is Approaching Our Solar System | The Weather Channel - Articles from The Weather Channel | weather.com - The Weather Channel",Astronomers believe that this mysterious object will pass through our planetary system at its closest approach in the year 2031. - Articles from The Weather Channel | weather.com,
Arjun Kapoor has a special request for Alia Bhatt on her beau Ranbir Kapoor’s birthday as he shares an un - Times of India,Arjun Kapoor has shared a priceless unseen picture with birthday boy Ranbir Kapoor and their other friends from the,
Will Joe Biden Call Imran Khan? What The White House Said - NDTV,"A senior White House official has said that she cannot ""predict"" when US President Joe Biden would make a call to Pakistan Prime Minister Imran Khan though there has been high-level engagements between the two countries.",
"EC announces by-poll schedule for 3 Lok Sabha, 30 assembly seats - Hindustan Times","The EC earlier this month announced by-polls to four assembly seats on September 30. They include West Bengal’s Bhabanipur, where Mamata Banerjee is contesting from as she needs to get elected to the state assembly by November to continue as the chief ministe…",
"Garena Free Fire Max download link: Game released - Check Google Play store link, system requirements, file... - Zee Business","The stable version has been released on the major app store- Google Play Store, although it may some time to reach all the devices.",
‘Pathan’ Shah Rukh Khan In A Three-Way Clash With Akshay Kumar & Prabhas? - Koimoi,"Yesterday, we reported about the mega clash between Akshay Kumar's Raksha Bandhan and Prabhas' Adipurush. Now, add Shah Rukh Khan to it.",
"Bhool Bhulaiyaa 2 motion poster: Kartik Aaryan film cranks up the mystery, to release on March 25 - The Indian Express","Bhool Bhulaiyaa 2 motion poster: Kartik Aaryan announced that the horror-comedy will release in theatres on March 25, 2022. The film also stars Kiara Advani and Tabu in the lead roles.",
Petrol Prices Increased After A Hiatus Of 22 Days, Diesel Sees Fourth Rate Hike - carandbike,"Petrol prices in Delhi jumped by 20 paise from Rs. 101.19 a litre to Rs. 101.39 a litre while diesel is priced at Rs. 89.57 a litre, after a hike of 25 paise."
"Amid Ongoing Faceoff in Ladakh, Chinese Soldiers Entered Uttarakhand on Horses Last Month: Sources - News18","As many as 100 troops of China's People's Liberation Army intruded into Indian territory in Uttarakhand's Barahoti on August 30, sources said on Tuesday.",
iPhone 13: Third party screen replacements disable Face ID - Moneycontrol,Apple's battle against third party repair continues with the iPhone 13,
"New Variant of Dengue Observed in 11 States; D2 Causes Concern for High Grade Fever, Shock Syndrome | The Weather Channel - Articles from The Weather Channel | weather.com - The Weather Channel","Though the dengue outbreak is under control, several cases of high fever caused by the new variant of Dengue DENV 2 is being reported in many cities across the country. - Articles from The Weather Channel | weather.com",
Oil prices head above $80 per barrel as fuel crisis beds in - Yahoo Finance,The oil price has not headed above $80 in around three years.,
Dallas Cowboys QB Dak Prescott says he's playing at career-best level after 'special' return to AT&T Stadium - ESPN,Dak Prescott completed 21 of 26 passes for 238 yards and three TDs in his first home game in 351 days.,
Florida deputy dies after being shot by ex-Marine - New York Post ,"A Florida sheriff’s deputy died Sunday – two days after he was shot twice by a former Marine he had pulled over, authorities said.",
"Freddy Krueger’s Glove, Michael Myers’ Mask Hit Auction Block - TMZ",Freddy Krueger's razor glove and Michael Myers' mask from 'Halloween' hit the auction block.,
North Korea Has Fired A Short-Range Missile Into The Sea In Its Latest Weapons Test - NPR,The move has raised questions about the sincerity of Pyongyang's recent offer for talks with South Korea.,
Lawmakers set to grill top military leaders on Afghanistan for first time since troop withdrawal - CNN,"Secretary of Defense Lloyd Austin and Chairman of the Joint Chiefs Gen. Mark Milley are set to testify publicly before Senate lawmakers Tuesday, marking the first time that top military officials will appear before Congress since the full withdrawal of US tro…",
Stephen Colbert Projects Joe Biden Is Still President - The New York Times,The “Late Show” host celebrated the results of an Arizona audit that confirmed Trump’s 2020 loss.,
"‘Unprecedented’ power cuts in China hits homes, factories - Al Jazeera English",Northeastern China is experiencing power cuts because of coal shortages and the tightening of emissions standards.,
Sanofi ditches mRNA COVID-19 vaccine amid rivals' success - Reuters,"Sanofi <a href=""https://www.reuters.com/companies/SASY.PA"" target=""_blank"">(SASY.PA)</a> is dropping plans for its own mRNA-based COVID-19 vaccine because of the dominant role of the BioNTech-Pfizer <a href=""https://www.reuters.com/companies/22UAy.DE"" target=…",
Bam Margera Taken to Florida Rehab in Police Car - TMZ,Police in Florida take Bam Margera to rehab.,
"2021 NBA Media Day: Ben Simmons' absence, Kyrie Irving's vaccine controversy among top 10 storylines - CBS Sports","Also, the surprise offseason foot surgery for Zion Williamson was a hot topic on Monday",
New Android 12.1 leak shows Google is embracing foldable phones - Android Police,"The final release of Android 12 is coming very soon, but details have started to drip in on what follows it. While the logical answer to that would be",
Child dead after infected by rare brain-eating amoeba found at Texas splash pad - Fox News,"A child died after visiting a Texas splash pad and becoming infected with a rare brain-eating amoeba, city officials revealed Monday.",
'Crazy': Britain puts army on standby as panic buying leaves petrol pumps dry - Reuters UK,"British drivers expressed frustration on Tuesday as they<a href=""https://www.reuters.com/world/uk/uk-puts-military-standby-panic-buying-hits-fuel-supplies-2021-09-27/?utm_source=inline&utm_medium=article"" target=""_blank""> hunted for hours</a> or sat snarled i…",
Japan to lift all coronavirus emergency steps nationwide - Associated Press,TOKYO (AP) — Japan’s government announced Tuesday that the coronavirus state of emergency will end this week to help rejuvenate the economy as infections slow. Prime Minister Yoshihide Suga said the emergency will end Thursday and virus restrictions will be e…,
"Unvaccinated Americans say the need for booster shots proves Covid vaccines don't work, Kaiser survey shows - CNBC",A Kaiser Family Foundation survey shows that 71% percent of unvaccinated respondents said boosters are a sign that vaccines are not working.,
Logitech’s smaller MX Keys Mini ditches the numpad for other useful keys - The Verge,"Logitech has announced the MX Keys Mini, a smaller version of its Bluetooth keyboard that can connect with up to three devices. It’s $99.99, and while it lacks a numpad, Logitech put in emoji, mic mute, and voice dictation keys.",
Britney Spears Explains Why She's Not a Fan of New Documentary on Her Conservatorship - E! NEWS,"Britney Spears had a lot to say about the revelations in a recent documentary about her conservatorship battle, with the star mocking ""the effort"" that the filmmakers underwent.",
Pelosi says Biden's infrastructure bill can't wait for social safety net bill - NBC News,Pelosi says Biden's infrastructure bill cannot wait for the social safety net bill.,
New York prepares to deploy National Guard to plug health care worker shortages as vaccine mandate begins - CNN,New York Gov. Kathy Hochul said she plans to sign an executive order to give herself the power to address any health care worker shortages when the state's health care vaccine mandate goes into effect overnight Monday into Tuesday.,
Tesla Full Self Driving Beta Button is Live | NextBigFuture.com,The Tesla full self-driving beta button is live.,
Tesla China Model Y Production Surge | NextBigFuture.com,"Teslarati reports that local sources in Shanghai say that Tesla Giga Shanghai is already producing 1,600 Model Y vehicles per day. In August, Giga Shanghai",
Tesla Trains Safer Driving With Safety Score Feedback | NextBigFuture.com,Tesla has released the first release of the Safety Score Beta. The Safety Score is an assessment of your driving behavior based on five metrics called Safety,
Nio Aktie: Mit neuer Batterie zurück ins Rennen,Die Aktie des chinesischen Automobilherstellers wurde zuletzt ordentlich ausgebremst. Jetzt will Nio mit neuem Konzept in Europa angreifen – und Tesla Konkurrenz machen.,
NCLT allows Kishore Biyani-owned company to convey shareholders meet for deal with Reliance Retail - Economic Times,"The Supreme Court, earlier this month, directed statutory authorities including NCLT, Competition Commission of India (CCI) and market regulator Sebi not to pass any final order related to the merger deal for next four weeks.",
Crisil upgrades Airtel's long-term rating to AA+; outlook stable - Mint,"Crisil said it expects further improvement in the overall credit risk profile of the company over the near-to -medium term on the back of improving cash accruals, deleveraging plans including rights issue",
Mahindra Manulife launches APAC-focused REIT fund of funds - Moneycontrol.com,"The scheme is suitable for investors who are looking to diversify their portfolio and build exposure to real estate markets internationally, the asset management company said.",
Pakistan’s dependence on natural gas is turning into a nightmare - Aljazeera.com,Surge in global gas prices is forcing Pakistan to pay top dollar or forego spot shipments it needs to tide over winter.,
Mahindra XUV700 production details revealed - CarToq.com,"Mahindra unveiled the all-new XUV700 on 15th August this year. They also revealed the prices partially. Mahindra started the production of the all-new XUV700 back in August. Here are new details about the production of the vehicle. As per ram87pune on T-BHP, …",
"Standard Life likely to sell 1.06 crore shares in HDFC AMC, deal size expected to be Rs 3,042 crore - Moneycontrol.com","The deal size is expected to be at Rs 3,042.2 crore ($411 million at a USDINR rate of 74.0525), as per the reports.",
Facebook earmarks $50 million investment to build metaverse responsibly - Moneycontrol,"Metaverse - according to the social media giant - is a set of virtual spaces where people can create and explore with others, who aren't in the same physical space as them. People will be able to hang out with friends, work, play, learn, shop and create with …",
"In a win for startups, SEBI eases differential voting rights rule, hikes promoter net worth cap to Rs... - Moneycontrol.com","SEBI first introduced DVRs in 2019, but the Rs 500 crore cap has hampered many companies from actually using them.",
S&P hails India's strong economic rebound; cuts China growth forecast - Mint,"S&P Global Ratings maintained its FY22 growth forecast for India at 9.5%, and cut estimates for China by 30 basis points to 8% for 2021, citing rising risks",
KKR to sell $300 mn stake in Max Healthcare - Mint,KKR affiliate Kayak investments Holdings Pte Ltd is selling as much as 63.47 million shares or 6.57% of Max Healthcare at an indicative price range of Rs350-369.7 apiece,
"Stocks down for third day, yields jump as markets prep for rate hikes By Reuters - Investing.com","Stocks down for third day, yields jump as markets prep for rate hikes",
SEBI clears way for launch of silver exchange-traded funds in India - Moneycontrol.com,"Silver has been an integral part of investors’ commodity portfolio globally. As per etfdb.com, five silver ETFs account for assets worth USD 13.7 billion.",
NCLT allows Future Group to hold EGMs to sell businesses to Reliance - Business Standard,"The deal would consolidate Mukesh Ambani's position in the Indian retail industry, which is witnessing huge investments by multinational players like Amazon and Walmart in e-commerce space",
IndiGo remains market leader but rivals catch up in post-pandemic India - Moneycontrol,A look at the top 20 cities by domestic traffic in the pre-pandemic era presents an interesting picture.,
Gujarat Gas wins case in Supreme Court against Adani for Ahmedabad rural distribution rights - Moneycontrol,"""We hereby inform you that the Honorable Supreme Court of India has pronounced judgement in case of Ahmedabad Rural authorization, which has been decided in favor of Gujarat Gas Limited,"" the state-run firm said in a regulatory filing.",
